"time","auc_roc","auc_emp","ci_roc_lower","ci_emp_lower","ci_roc_upper","ci_emp_upper","brier_dist","brier_pooled","n1","n2","n3","n4","n5","calibration_preds","calibration_truths","calibration_n","calibration_nas"
"2023-03-06 14:08:47",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-02-13 14:06:58",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-01-30 14:12:33",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-01-23 14:09:10",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-01-16 14:16:36",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-01-02 14:10:01",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-12-26 14:04:59",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-12-20 09:03:12",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-12-05 14:12:49",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2022-11-28 14:15:59",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
